pc11_s_id,pc11_d_id,pc11_sd_id,year,post_ror_data_entry_block_any,post_ror_dist_softw_available_block_any,post_ror_aadhaar_link_block_any,post_mutation_computerized_block_any,post_digital_ror_issued_block_any,block_id,mean_night,count_night,sum_night,sd_name,frac_12,per_aggriculture,per_treecover,per_greencover,per_built
20,347,2519,2018,1,1,1,1,1,2241,0.0048361382091647,1129,5.46000003814697,Kanha Chatti,0.715758085250855,71.5758085250855,7.01789522171021,75.5846862792969,17.3446865081787
20,347,2519,2019,1,1,1,1,1,2241,0.0073073516386182,1129,8.25,Kanha Chatti,0.731163442134857,73.1163442134857,12.1469926834106,76.250114440918,11.5580768585205
20,347,2519,2020,1,1,1,1,1,2241,0.0339814009552407,1129,38.3650016784668,Kanha Chatti,0.68426126241684,68.426126241684,12.4098539352417,74.8515853881836,12.7383556365967
20,347,2519,2021,1,1,1,1,1,2241,0.0433215267157744,1129,48.9100036621094,Kanha Chatti,0.672674477100372,67.2674477100372,12.1652193069458,74.4356842041016,13.3707447052002
20,347,2520,2000,0,0,0,0,0,2242,0,790,0,Itkhori,,,5.58414554595947,66.2472457885742,27.1445007324219
20,347,2520,2001,0,0,0,0,0,2242,0,790,0,Itkhori,0.705399632453919,70.5399632453919,4.35257339477539,69.9239044189453,24.7644882202148
20,347,2520,2002,0,0,0,0,0,2242,0.0045624648468403,790,3.60434722900391,Itkhori,0.821742832660675,82.1742832660675,6.06482028961182,69.4885559082031,23.5365943908691
20,347,2520,2003,0,0,0,0,0,2242,0,790,0,Itkhori,0.837340414524078,83.7340414524078,4.91634368896484,68.9970245361328,24.9670448303223
20,347,2520,2004,0,0,0,0,0,2242,0,790,0,Itkhori,0.860296070575714,86.0296070575714,4.21070432662964,71.7227172851563,22.9278163909912
20,347,2520,2005,0,0,0,0,0,2242,0,790,0,Itkhori,0.845100581645966,84.5100581645966,5.53787755966187,74.0555114746094,19.4975166320801
20,347,2520,2006,0,0,0,0,0,2242,0,790,0,Itkhori,0.848020792007446,84.8020792007446,5.41075849533081,71.8004913330078,21.8297138214111
20,347,2520,2007,0,0,0,0,0,2242,0,790,0,Itkhori,0.82290530204773,82.290530204773,5.83949851989746,70.2409362792969,22.7653980255127
20,347,2520,2008,0,0,0,0,0,2242,0.0014469128620775,790,1.14306116104126,Itkhori,0.806910455226898,80.6910455226898,6.64214420318604,68.0417556762695,24.3570652008057
20,347,2520,2009,0,0,0,0,0,2242,0.0043451116054872,790,3.43263816833496,Itkhori,0.747300744056702,74.7300744056702,5.91399621963501,69.8197021484375,23.1467151641846
